IMG_1382,[8, 10, 14, 15, 16],[(149, 114, 96), (215, 192, 177), (32, 15, 11), (89, 66, 58), (105, 48, 16)]
IMG_1369,[116, 131, 140, 151, 242],[(127, 139, 144), (33, 26, 28), (37, 69, 72), (87, 95, 93), (182, 185, 189)]
IMG_1507,[5, 6, 7, 9, 212],[(231, 226, 225), (28, 22, 21), (180, 175, 180), (88, 67, 64), (140, 117, 110)]
IMG_1355,[0, 11, 16, 249, 251],[(84, 68, 62), (131, 104, 106), (49, 34, 36), (12, 8, 8), (176, 161, 151)]
IMG_1341,[0, 24, 25, 29, 39],[(40, 34, 20), (247, 245, 214), (157, 128, 90), (0, 0, 0), (88, 67, 36)]
IMG_1696,[36, 36, 42, 85, 99],[(193, 193, 187), (86, 94, 86), (54, 66, 58), (132, 129, 112), (177, 170, 129)]
IMG_1229,[35, 42, 85, 127, 132],[(97, 105, 106), (232, 231, 226), (192, 198, 198), (40, 40, 36), (152, 155, 152)]
IMG_1679,[23, 28, 31, 37, 45],[(251, 228, 69), (52, 35, 14), (236, 177, 13), (194, 199, 135), (102, 90, 66)]
IMG_1550,[25, 29, 31, 35, 36],[(21, 17, 11), (181, 170, 113), (115, 103, 67), (63, 54, 34), (240, 238, 225)]
IMG_1100,[7, 15, 217, 244, 247],[(164, 135, 129), (87, 79, 86), (217, 43, 73), (39, 27, 30), (216, 207, 202)]
IMG_1680,[113, 115, 123, 123, 127],[(160, 170, 169), (14, 15, 15), (96, 106, 105), (37, 40, 39), (64, 71, 69)]
IMG_1116,[0, 10, 11, 12, 12],[(53, 27, 16), (7, 3, 3), (133, 101, 90), (81, 58, 48), (27, 13, 8)]
IMG_1546,[0, 6, 11, 13, 15],[(146, 132, 127), (20, 19, 19), (222, 216, 215), (52, 47, 44), (98, 87, 82)]
IMG_1287,[0, 74, 138, 148, 212],[(45, 44, 45), (67, 71, 75), (24, 21, 21), (107, 110, 106), (175, 184, 187)]
IMG_1268,[0, 13, 13, 14, 180],[(6, 4, 4), (198, 197, 201), (76, 56, 47), (42, 29, 23), (112, 94, 85)]
IMG_1638,[0, 23, 54, 85, 85],[(126, 128, 121), (253, 254, 253), (75, 70, 64), (165, 170, 165), (22, 22, 22)]
IMG_1511,[0, 20, 160, 185, 212],[(214, 212, 214), (15, 38, 123), (147, 129, 113), (78, 69, 69), (25, 22, 30)]
IMG_1213,[12, 19, 28, 170, 170],[(19, 19, 25), (49, 49, 58), (133, 106, 95), (219, 193, 141), (223, 215, 208)]
IMG_1643,[13, 34, 131, 149, 245],[(35, 62, 90), (140, 59, 21), (156, 192, 196), (197, 164, 23), (192, 103, 123)]
IMG_1585,[22, 171, 212, 224, 244],[(32, 25, 30), (65, 52, 65), (178, 165, 150), (112, 96, 100), (21, 15, 208)]
IMG_1614,[139, 140, 155, 157, 244],[(16, 77, 101), (6, 8, 13), (153, 162, 179), (71, 67, 68), (35, 121, 158)]
IMG_1244,[12, 21, 161, 185, 248],[(43, 39, 50), (220, 208, 203), (122, 109, 111), (217, 174, 130), (171, 176, 196)]
IMG_1252,[6, 20, 21, 148, 178],[(204, 222, 240), (33, 32, 37), (67, 61, 60), (156, 146, 136), (124, 105, 87)]
IMG_1602,[14, 14, 22, 22, 235],[(214, 198, 190), (128, 120, 111), (178, 165, 150), (36, 25, 30), (83, 73, 68)]
IMG_1340,[0, 0, 0, 0, 0],[(54, 54, 54), (138, 138, 138), (184, 184, 184), (97, 97, 97), (13, 13, 13)]
IMG_1205,[0, 1, 2, 10, 15],[(84, 66, 60), (12, 8, 8), (178, 160, 150), (135, 102, 101), (52, 33, 32)]
IMG_1354,[67, 85, 93, 166, 195],[(64, 69, 65), (114, 121, 114), (161, 163, 188), (34, 31, 36), (88, 98, 81)]
IMG_1368,[7, 14, 20, 21, 212],[(153, 141, 130), (98, 88, 83), (24, 22, 24), (215, 210, 205), (60, 51, 49)]
IMG_1383,[26, 34, 42, 47, 54],[(55, 55, 44), (140, 142, 135), (204, 199, 191), (96, 97, 88), (13, 12, 8)]
IMG_1593,[0, 10, 14],[(254, 253, 253), (44, 42, 41), (156, 147, 144)]
IMG_1397,[0, 22, 36, 248, 253],[(218, 175, 182), (158, 70, 74), (56, 48, 39), (121, 115, 77), (183, 127, 127)]
IMG_1381,[0, 12, 12, 23, 38],[(13, 2, 2), (158, 117, 99), (55, 52, 21), (240, 215, 205), (98, 76, 50)]
IMG_1395,[13, 26, 26, 28, 30],[(24, 22, 18), (159, 139, 107), (111, 91, 59), (57, 52, 39), (203, 194, 190)]
IMG_1418,[3, 11, 15, 15, 16],[(113, 87, 71), (220, 206, 198), (73, 48, 39), (153, 132, 120), (29, 16, 15)]
IMG_1342,[0, 14, 15, 21, 145],[(92, 78, 71), (222, 206, 190), (42, 35, 35), (131, 178, 213), (164, 133, 115)]
IMG_1272,[0, 21, 25, 27, 28],[(32, 31, 31), (170, 165, 155), (68, 67, 66), (114, 110, 103), (146, 140, 131)]
IMG_1356,[8, 23, 26, 30, 33],[(87, 81, 66), (226, 222, 221), (133, 122, 103), (38, 36, 29), (178, 159, 136)]
IMG_1675,[14, 15, 16, 18, 24],[(175, 165, 152), (215, 210, 207), (45, 36, 30), (130, 121, 114), (98, 77, 66)]
IMG_1225,[14, 25, 26, 27, 170],[(114, 99, 74), (62, 55, 42), (4, 4, 6), (178, 158, 129), (26, 24, 23)]
IMG_1663,[135, 143, 145, 146, 148],[(79, 87, 92), (49, 55, 60), (19, 32, 35), (128, 132, 135), (4, 6, 8)]
IMG_1634,[0, 21, 22, 31, 42],[(70, 67, 58), (38, 31, 24), (177, 177, 167), (119, 108, 96), (6, 5, 5)]
IMG_1136,[0, 0, 14, 14, 212],[(40, 38, 37), (185, 183, 185), (79, 77, 76), (111, 108, 108), (145, 143, 143)]
